# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.5510,-0.2380,1.4714,1.4714
-0.5010,-0.2380,1.4637,1.4637
-0.4510,-0.2380,1.4577,1.4577
-0.4010,-0.2380,1.4534,1.4534
-0.3510,-0.2380,1.4509,1.4509
-0.3010,-0.2380,1.4431,1.4431
-0.2510,-0.2380,1.4318,1.4318
-0.2010,-0.2380,1.4221,1.4221
-0.1510,-0.2380,1.4142,1.4142
-0.1010,-0.2380,1.4080,1.4080
-0.0510,-0.2380,1.3946,1.3946
-0.0010,-0.1880,1.4036,1.4036
0.0490,-0.1880,1.4080,1.4080
0.0990,-0.1880,1.4142,1.4142
0.1490,-0.1880,1.4080,1.4080
0.1990,-0.1880,1.3946,1.3946
0.2490,-0.1380,1.3946,1.3946
0.2990,-0.1380,1.4080,1.4080
0.3490,-0.1380,1.4080,1.4080
0.3990,-0.1380,1.3946,1.3946
0.4490,-0.0880,1.4116,1.4116
0.4990,-0.0880,1.4221,1.4221
0.5490,-0.0880,1.4142,1.4142
0.5990,-0.0880,1.4080,1.4080
0.6490,-0.0880,1.4036,1.4036
0.6990,-0.0380,1.4509,1.4509
0.7490,-0.0380,1.4500,1.4500
0.7990,-0.0380,1.4500,1.4500
0.8490,-0.0380,1.4500,1.4500
0.8990,-0.0380,1.4500,1.4500
0.9490,-0.0380,1.4500,1.4500
0.9990,-0.0380,1.4500,1.4500
1.0490,-0.0380,1.4509,1.4509
1.0990,-0.0380,1.4534,1.4534
1.1490,-0.0380,1.4577,1.4577
1.1990,-0.0380,1.4637,1.4637
1.2490,0.0120,1.5042,1.5042
1.2990,0.0120,1.5133,1.5133
1.3490,0.0120,1.5207,1.5207
1.3990,0.0120,1.5297,1.5297
1.4490,-0.0380,1.5182,1.5182
1.4990,-0.0380,1.5338,1.5338
1.5490,0.0120,1.5660,1.5660
1.5990,0.0120,1.5811,1.5811
1.6490,0.0120,1.5977,1.5977
1.6990,-0.0380,1.6101,1.6101
1.7490,-0.0380,1.6325,1.6325
1.7990,-0.0380,1.6560,1.6560
1.8490,-0.0380,1.6808,1.6808
1.8990,-0.0380,1.7066,1.7066
1.9490,-0.0380,1.7335,1.7335
1.9990,-0.0380,1.7614,1.7614
2.0490,-0.0380,1.7903,1.7903
2.0990,-0.0380,1.8200,1.8200
2.1490,-0.0380,1.8507,1.8507
2.1990,-0.0380,1.8742,1.8742
2.2490,-0.0380,1.8828,1.8828
2.2990,-0.0380,1.8927,1.8927
2.3490,-0.0380,1.9039,1.9039
2.3990,-0.0380,1.9164,1.9164
2.4490,-0.0380,1.9235,1.9235
2.4990,-0.0880,1.9812,1.9812
2.5490,-0.0380,1.9416,1.9416
2.5990,0.0120,1.8927,1.8927
2.5490,-0.1380,1.9729,1.9729
2.5990,-0.1880,1.9320,1.9320
2.5990,-0.2380,1.9416,1.9416
2.5990,-0.2880,1.9526,1.9526
2.6490,-0.3380,1.9105,1.9105
2.6490,-0.3880,1.9164,1.9164
2.6490,-0.4380,1.9235,1.9235
2.6990,-0.4880,1.8828,1.8828
2.6990,-0.5380,1.8927,1.8927
2.7490,-0.5880,1.8554,1.8554
2.7490,-0.6380,1.8668,1.8668
2.7490,-0.6880,1.8742,1.8742
2.7490,-0.7380,1.8828,1.8828
2.7490,-0.7880,1.8848,1.8848
2.7990,-0.8380,1.8554,1.8554
2.7990,-0.8880,1.8668,1.8668
2.7990,-0.9380,1.8742,1.8742
2.7990,-0.9880,1.8682,1.8682
2.7990,-1.0380,1.8554,1.8554
2.7990,-1.0880,1.8439,1.8439
2.7990,-1.1380,1.8337,1.8337
2.7990,-1.1880,1.8248,1.8248
2.7990,-1.2380,1.8173,1.8173
2.8490,-1.2880,1.8608,1.8608
